"WHO region","2016","2015","2010","2005","2000","2016","2015","2010","2005","2000","2016","2015","2010","2005","2000"
"Africa",7.4,7.4,7.6,7.9,8.3,9.9,9.9,9.9,10.4,10.8,4.8,4.9,5.3,5.4,5.8
"Americas",9.8,9.9,9.0,8.5,8.3,15.1,15.2,14.0,13.2,13.1,4.6,4.6,4.1,3.9,3.6
"South-East Asia",13.2,13.3,13.5,14.2,14.3,14.8,14.9,14.8,15.1,15.8,11.6,11.7,12.1,13.4,12.8
"Europe",15.4,15.7,17.9,20.7,21.8,24.7,25.2,29.2,33.9,35.6,6.6,6.8,7.3,8.3,8.9
"Eastern Mediterranean",3.9,3.9,4.3,5.1,5.0,5.1,5.0,5.5,6.3,6.0,2.7,2.7,3.0,3.8,4.0
"Western Pacific",10.2,10.2,11.7,12.2,13.1,10.9,10.9,12.0,12.4,12.9,9.4,9.5,11.5,12.0,13.4
"(WHO) Global",10.6,10.7,11.5,12.3,12.9,13.5,13.6,14.3,15.3,16.0,7.7,7.8,8.6,9.3,9.7
